Timestamp,RawReading,Weight_g
2025-09-18 12:02:18.449,238661,36.23
2025-09-18 12:02:19.229,114437,19.54
2025-09-18 12:02:20.010,187849,38.30
2025-09-18 12:02:20.789,195895,42.94
2025-09-18 12:02:21.570,143345,20.69
2025-09-18 12:02:22.350,126129,19.72
2025-09-18 12:02:23.130,231345,32.61
2025-09-18 12:02:23.910,175677,19.27
2025-09-18 12:02:24.687,246429,47.81
2025-09-18 12:02:25.469,202626,32.69
2025-09-18 12:02:26.249,149030,34.52
2025-09-18 12:02:27.030,176640,20.40
2025-09-18 12:02:27.809,143979,20.55
2025-09-18 12:02:28.590,166816,21.41
2025-09-18 12:02:29.370,131958,19.39
2025-09-18 12:02:30.148,126733,19.29
2025-09-18 12:02:30.927,124396,33.74
2025-09-18 12:02:31.708,244399,40.45
2025-09-18 12:02:32.489,129517,20.21
2025-09-18 12:02:33.269,247445,44.72
2025-09-18 12:02:34.049,164469,35.45
2025-09-18 12:02:34.828,237817,36.53
2025-09-18 12:02:35.609,251257,39.75
2025-09-18 12:02:36.387,145501,34.27
2025-09-18 12:02:37.167,143008,23.21
2025-09-18 12:02:37.948,120476,19.09
2025-09-18 12:02:38.729,135688,23.17
2025-09-18 12:02:39.508,155859,29.45
2025-09-18 12:02:40.287,235008,50.87
2025-09-18 12:02:41.068,125098,19.53
2025-09-18 12:02:41.848,127961,19.25
2025-09-18 12:02:42.628,126022,22.27
2025-09-18 12:02:43.409,272289,51.89
2025-09-18 12:02:44.187,159193,19.79
2025-09-18 12:02:44.969,127529,19.59
2025-09-18 12:02:45.749,124390,20.08
2025-09-18 12:02:46.529,252442,41.91
2025-09-18 12:02:47.309,139888,21.61
2025-09-18 12:02:48.087,124125,19.50
2025-09-18 12:02:48.867,238130,37.27
2025-09-18 12:02:49.647,121433,21.37
2025-09-18 12:02:50.428,140235,24.51
2025-09-18 12:02:51.208,118845,21.12
2025-09-18 12:02:51.988,127721,27.37
2025-09-18 12:02:52.768,246311,41.34
2025-09-18 12:02:53.548,226915,38.30
2025-09-18 12:02:54.327,124421,20.13
2025-09-18 12:02:55.107,124828,21.93
2025-09-18 12:02:55.887,238389,49.05
2025-09-18 12:02:56.668,212290,37.13
2025-09-18 12:02:57.448,166007,27.28
2025-09-18 12:02:58.227,151561,27.46
2025-09-18 12:02:59.005,157843,27.74
2025-09-18 12:02:59.787,170331,28.70
2025-09-18 12:03:00.567,154815,28.52
2025-09-18 12:03:01.347,177275,33.75
2025-09-18 12:03:02.126,189240,35.30
2025-09-18 12:03:02.905,188687,32.43
2025-09-18 12:03:03.687,172482,32.02
